lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
zhaashaagwam,1s - 3s - ind,inzhaashaagwamaa,/zhaashaagwam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
zhaashaagwam,1s - 3s - ind,ninzhaashaagwamaa,/zhaashaagwam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
zhaashaagwam,1s - 3s - ind,nizhaashaagwamaa,/zhaashaagwam-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
zhaashaagwam,3s - 3' - ind,ozhaashaagwamaan,/zhaashaagwam-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
zhaashaagwam,3s - 3' - conj,zhaashaagwamaad,/zhaashaagwam-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
zhaashaagwam,3s - 3' - ch-conj,zhayaashaagwamaad,/zhaashaagwam-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
zhaashaagwam,2s - 3 - imp,zhaashaagwam,/zhaashaagwam-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
bigiins,sg,bigiins,/bigiins-/,,,,,singular,FALSE,FALSE
bigiins,pl,bigiinsag,/bigiins-/,,,,,plural,FALSE,FALSE
gijigijigaaneshiinh,sg,gijigijigaaneshiinh,/gijigijigaaneshiinhy-/,,,,,singular,FALSE,FALSE
gijigijigaaneshiinh,pl,gijigijigaaneshiinyag,/gijigijigaaneshiinhy-/,,,,,plural,FALSE,FALSE
baaka'aakwenh,sg,baaka'aakwenh,/baaka'aakwenhy-/,,,,,singular,FALSE,FALSE
baaka'aakwenh,pl,baaka'aakwenyag,/baaka'aakwenhy-/,,,,,plural,FALSE,FALSE
baaka'aakwenhwigamig,sg,baaka'aakwenhwigamig,/baaka'aakwenhwigamigw-/,,,,,singular,FALSE,FALSE
baaka'aakwenhwigamig,pl,baaka'aakwenhwigamigoon,/baaka'aakwenhwigamigw-/,,,,,plural,FALSE,FALSE
baaka'aakwenhwigamig,dim,baaka'aakwenhwigamigoons,/baaka'aakwenhwigamigw-/,,,,,,TRUE,FALSE
baaka'aakwenhwigamig,loc,baaka'aakwenhwigamigong,/baaka'aakwenhwigamigw-/,,,,,,FALSE,TRUE
baaka'aakwenh-wiiyaas,sg,baaka'aakwenh-wiiyaas,/baaka'aakwenh-wiiyaas-/,,,,,singular,FALSE,FALSE
ogimaa,sg,ogimaa,/ogimaaw-/,,,,,singular,FALSE,FALSE
