lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
bizhikiiwigamig,sg,bizhikiiwigamig,/bizhikiiwigamigw-/,,,,,singular,FALSE,FALSE
bizhikiiwigamig,pl,bizhikiiwigamigoon,/bizhikiiwigamigw-/,,,,,plural,FALSE,FALSE
bizhikiiwigamig,loc,bizhikiiwigamigong,/bizhikiiwigamigw-/,,,,,,FALSE,TRUE
izhi',1s - 3s - ind,indinaa,/iN-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
izhi',1s - 3s - ind,nindinaa,/iN-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
izhi',1s - 3s - ind,nidinaa,/iN-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
izhi',3s - 1s - ind,indig,/iN-/,,third_person_singular,first_person_singular,independent,,FALSE,FALSE
izhi',X - 1s - ind,indigoo,/iN-/,,indefinite,first_person_singular,independent,,FALSE,FALSE
izhi',3s - 3' - ind,odinaan,/iN-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
izhi',3s - 3' - conj,inaad,/iN-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
izhi',3s - 3' - ch-conj,enaad,/iN-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
izhi',2s - 3 - imp,izhi,/iN-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
ayaangwaamim,1s - 3s - ind,indayaangwaamimaa,/ayaangwaamim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
ayaangwaamim,1s - 3s - ind,nindayaangwaamimaa,/ayaangwaamim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
ayaangwaamim,1s - 3s - ind,nidayaangwaamimaa,/ayaangwaamim-/,,first_person_singular,third_person_singular,independent,,FALSE,FALSE
ayaangwaamim,3s - 3' - ind,odayaangwaamimaan,/ayaangwaamim-/,,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
ayaangwaamim,3s - 3' - conj,ayaangwaamimaad,/ayaangwaamim-/,,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
ayaangwaamim,3s - 3' - ch-conj,eyaangwaamimaad,/ayaangwaamim-/,,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
ayaangwaamim,2s - 3 - imp,ayaangwaamim,/ayaangwaamim-/,,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
ayaangwaamizi,1s - ind,indayaangwaamiz,/ayaangwaamizi-/,,first_person_singular,,independent,,FALSE,FALSE
ayaangwaamizi,1s - ind,nindayaangwaamiz,/ayaangwaamizi-/,,first_person_singular,,independent,,FALSE,FALSE
ayaangwaamizi,1s - ind,nidayaangwaamiz,/ayaangwaamizi-/,,first_person_singular,,independent,,FALSE,FALSE
ayaangwaamizi,3s - ind,ayaangwaamizi,/ayaangwaamizi-/,,third_person_singular,,independent,,FALSE,FALSE
ayaangwaamizi,3s - conj,ayaangwaamizid,/ayaangwaamizi-/,,third_person_singular,,conjunct,,FALSE,FALSE
ayaangwaamizi,3s - ch-conj,eyaangwaamizid,/ayaangwaamizi-/,,third_person_singular,,changed_conjunct,,FALSE,FALSE
waazh,sg,waazh,/waazh-/,,,,,singular,FALSE,FALSE
waazh,pl,waazhan,/waazh-/,,,,,plural,FALSE,FALSE
waazh,loc,waazhing,/waazh-/,,,,,,FALSE,TRUE
giizhik,sg,giizhik,/giizhik-/,,,,,singular,FALSE,FALSE
giizhik,pl,giizhikag,/giizhik-/,,,,,plural,FALSE,FALSE
giizhik,dim,giizhikens,/giizhik-/,,,,,,TRUE,FALSE
giizhik,loc,giizhiking,/giizhik-/,,,,,,FALSE,TRUE
giizhikanagek,sg,giizhikanagek,/giizhikanagekw-/,,,,,singular,FALSE,FALSE
